"Year","Game","Count","Conf.Game","Week","Team","Conference","Tm.HAN","Tm.FU","Tm.Cover","Tm.OU","Field25","Opp","Opp.Conference","Opp.HAN","Opp.FU","Opp.Cover","Opp.OU","OT","Thursday","TOP.VERIFICATION","OU.Total","Tm.Points","Tm.Spread","Tm.Passes","Tm.Pass.Yards","Tm.YPPA","Tm.Rush.Attempts","Tm.Rush.Yards","Tm.YPRA","Tm.Total.Plays","Tm.Total.Yards","Tm.YPP","Tm.TO","Tm.Pen.Yards","Tm.TOP","Opp.Points","Opp.Spread","Opp.Passes","Opp.Pass.Yards","Opp.YPPA","Opp.Rush.Attempts","Opp.Rush.Yards","Opp.YPRA","Opp.Total.Plays","Opp.Total.Yards","Opp.YPP","Opp.TO","Opp.Pen.Yards","Opp.TOP","Victory","Pts.Diff","TO.Diff","Victory.1","Pts.Diff.1","Opp.Off.Points","Opp.Off.Spread","Opp.Off.Passes","Opp.Off.Pass.Yards","Opp.Off.YPPA","Opp.Off.Rush.Attempts","Opp.Off.Rush.Yards","Opp.Off.YPRA","Opp.Off.Total.Plays","Opp.Off.Total.Yards","Opp.Off.YPP","Opp.Off.TO","Opp.Off.Pen.Yards","Opp.Off.TOP","Opp.Def.Points","Opp.Def.Spread","Opp.Def.Passes","Opp.Def.Pass.Yards","Opp.Def.YPPA","Opp.Def.Rush.Attempts","Opp.Def.Rush.Yards","Opp.Def.YPRA","Opp.Def.Total.Plays","Opp.Def.Total.Yards","Opp.Def.YPP","Opp.Def.TO","Opp.Def.Pen.Yards","Opp.Def.TOP","Opp.Victory","Opp.Pts.Diff","Opp.TO.Diff","offense.points.dif","defense.points.dif","offense.YPPA.dif","defense.YPPA.dif","offense.YPRA.dif","defense.YPRA.dif","offense.Pass.Yards.dif","defense.Pass.Yards.dif","offense.Rush.Yards.dif","defense.Rush.Yards.dif","TO.Diff.dif","Victory.dif","offense.Total.Plays.dif","defense.Total.Plays.dif","offense.Total.Yards.dif","defense.Total.Yards.dif","Home.Binary","original.order","matchup.num","Class_Points","recruit_lag1","recruit_lag2","recruit_lag3","recruit_lag4","recruit_2avg","recruit_3avg","recruit_4avg","home.ind","away.ind","field.status","game.id"
2011,193,1,"N",5,"Navy","Independent","H","F","N","O",NA,"Air Force","MWC","A","U","Y","O","Y","N",3600,NA,30.5,11,8,80.5,10.535,52,342,6.51,60,422.5,6.975,2,67.5,1788,19,11,29,178.5,6.4,38,189,4.825,67,367.5,5.45,3,34.5,1812,0.5,11.5,1,0,-1,19,4,21,167,7.95,43,249,5.79,64,416,6.5,2,55,1641,35,4,25,206,8.24,44,204,4.64,69,410,5.94,1,50,1959,0,-16,-1,-4.5,0,2.295,-1.55,1.87,-0.965,-125.5,11.5,138,-60,2,0.5,-9,3,12.5,-48.5,1,3334,1,24.64,36.32,33.97,73.09,0,35.145,47.79333333,35.845,1,0,1,"2011193"
2011,258,1,"N",6,"Notre Dame","Independent","H","F","Y","O",NA,"Air Force","MWC","A","U","N","O","N","N",3600,NA,27,49.6,39.2,269.4,6.792,33.2,179.6,5.292,72.4,449,6.126,3,74.2,1891.6,18.6,49.6,35.6,230.4,6.93,31.2,91.2,2.892,66.8,321.6,5.06,1.2,76.8,1708.4,0.6,8.4,-1.8,1,26,27,26.5,15.5,151.5,10.775,42,236,5.615,57.5,387.5,6.77,1.5,46.5,1397.5,34.5,26.5,25,169,6.76,62,269,4.41,87,438,5.19,1,58.5,2202.5,0.5,-7.5,-0.5,-7.5,-8.4,0.032,-3.845,0.882,-2.723,100.4,78.9,-89.4,-144.8,-1.3,0.1,-14.6,9.3,11,-65.9,1,3757,2,269.31,232.42,240.45,294.67,264.97,236.435,255.8466667,258.1275,1,0,1,"2011258"
2011,286,1,"Y",7,"San Diego State","MWC","A","U","Y","O",NA,"Air Force","MWC","H","F","N","O","N","Y",3600,NA,21.5,60.75,36.25,219.5,6.415,32,146.5,4.56,68.25,366,5.4875,2.25,35.25,1624.25,24.75,60.75,22,179,7.5025,50.5,252,4.665,72.5,431,5.9975,3.75,39.75,1975.75,0.5,-3.25,1.5,1,14,29,22,19.66666667,168.3333333,9.586666667,48,278.3333333,5.76,67.66666667,446.6666667,6.653333333,1.666666667,54.33333333,1580.333333,42.66666667,22,28.66666667,210.6666667,7.23,51,268,5.996666667,79.66666667,478.6666667,6.333333333,0.666666667,57,2019.666667,0.333333333,-13.66666667,-1,-21.16666667,-4.25,-0.815,-2.084166667,-1.436666667,-1.095,8.833333333,10.66666667,-121.5,-26.33333333,2.5,0.166666667,-11.41666667,4.833333333,-112.6666667,-15.66666667,0,4423,3,118.05,150.56,113.34,110.98,119.63,131.95,124.96,123.6275,0,1,-1,"2011286"
2011,356,1,"Y",8,"Boise State","MWC","H","F","N","O",NA,"Air Force","MWC","A","U","Y","O","N","N",3600,NA,44.33333333,40.83333333,36.33333333,307.1666667,8.4,40.83333333,191.6666667,4.573333333,77.16666667,498.8333333,6.395,1,49.33333333,2054.666667,14.5,40.83333333,28.66666667,169.8333333,5.918333333,29.83333333,112.8333333,3.866666667,58.5,282.6666667,4.803333333,2.5,58,1545.333333,1,29.83333333,1.5,1,11,28.5,39.75,24,182.25,8.7025,47.75,257.5,5.3575,71.75,439.75,6.2375,2,48.25,1685.25,42.25,39.75,26.75,210.25,7.91,47,251.25,5.9325,73.75,461.5,6.58,0.75,54.5,1914.75,0.25,-13.75,-1.25,2.083333333,-14,0.49,-2.784166667,-1.359166667,-1.490833333,96.91666667,-12.41666667,-59.58333333,-144.6666667,2.75,0.75,3.416666667,-13.25,37.33333333,-157.0833333,1,594,4,159.9,104.16,150.36,119.06,143.6,127.26,124.5266667,129.295,1,0,1,"2011356"
2011,402,1,"Y",9,"Air Force","MWC","A","F","Y","U",NA,"New Mexico","MWC","H","U","N","U","N","N",3600,NA,28,41.8,22.6,174.6,8.656,51.2,258.8,5.098,73.8,433.4,5.986,2,43.8,1783.8,41.2,41.8,27.2,224.4,8.266,42.8,229.4,5.838,70,453.8,6.802,1,50,1816.2,0.2,-13.2,-1,1,42,10.16666667,53.33333333,29,164,5.215,36.66666667,124.8333333,3.443333333,65.66666667,288.8333333,4.265,2,44,1704.5,47.5,53.33333333,32.33333333,300.6666667,9.438333333,41.5,228.8333333,5.348333333,73.83333333,529.5,7.071666667,1.333333333,52.33333333,1895.5,0,-37.33333333,-0.666666667,-19.5,31.03333333,-0.782333333,3.051,-0.250333333,2.394666667,-126.0666667,60.4,29.96666667,104.5666667,-0.333333333,0.2,-0.033333333,4.333333333,-96.1,164.9666667,0,5,5,0,24.1,91.94,23.97,42.11,58.02,46.67,45.53,0,1,-1,"2011402"
2011,468,1,"N",10,"Army","Independent","A","U","Y","U",NA,"Air Force","MWC","H","F","N","U","N","N",3600,NA,26,55.28571429,7.428571429,52.42857143,7.677142857,64.57142857,348.2857143,5.418571429,72,400.7142857,5.604285714,2.142857143,36.42857143,2066.428571,31.28571429,55.28571429,27,220.7142857,7.884285714,36.57142857,191.7142857,5.117142857,63.57142857,412.4285714,6.361428571,1.285714286,48.71428571,1533.571429,0.285714286,-5.285714286,-0.857142857,0,-10,30.33333333,42.5,19.33333333,149.8333333,8.658333333,52.83333333,271.5,5.163333333,72.16666667,421.3333333,5.928333333,1.833333333,47.5,1790.333333,34.33333333,42.5,27.33333333,205.1666667,7.536666667,40.16666667,210.1666667,5.568333333,67.5,415.3333333,6.343333333,1.333333333,52.83333333,1809.666667,0.333333333,-4,-0.5,-8.333333333,0.952380952,0.14047619,-0.774047619,-0.149761905,-0.046190476,-152.7380952,70.88095238,138.1190476,-79.78571429,-0.357142857,-0.047619048,4.5,-8.595238095,-14.61904762,-8.904761905,0,384,6,4.96,94.48,79.82,66.25,23.83,87.15,80.18333333,66.095,0,1,-1,"2011468"
2011,512,1,"Y",11,"Air Force","MWC","H","F","N","U",NA,"Wyoming","MWC","A","U","Y","U","N","N",3600,NA,29.42857143,39,18.28571429,145.8571429,8.874285714,53,258.2857143,4.898571429,71.28571429,404.1428571,5.732857143,1.857142857,47,1776.714286,31.42857143,39,24.85714286,179.5714286,6.831428571,43.57142857,228.7142857,5.531428571,68.42857143,408.2857143,6.144285714,1.857142857,50.42857143,1823.285714,0.428571429,-2,0,0,-8,24.16666667,30.83333333,35.16666667,235.3333333,6.68,34.83333333,148.5,4.253333333,70,383.8333333,5.456666667,0.833333333,39.83333333,1829,33.33333333,30.83333333,28.5,233.6666667,8.165,44.5,260.6666667,5.755,73,494.3333333,6.816666667,2.666666667,60.66666667,1771,0.5,-9.166666667,1.833333333,-3.904761905,7.261904762,0.709285714,0.151428571,-0.856428571,1.278095238,-87.80952381,-55.76190476,-2.380952381,80.21428571,-1.833333333,-0.071428571,-1.714285714,-1.571428571,-90.19047619,24.45238095,1,7,7,0,24.1,91.94,23.97,42.11,58.02,46.67,45.53,1,0,1,"2011512"
2011,587,1,"Y",12,"Air Force","MWC","H","F","Y","O",NA,"UNLV","MWC","A","U","N","O","N","N",3600,NA,27.875,36.375,16.625,127.5,7.74,54.25,265,4.905,70.875,392.5,5.5875,2.125,47.875,1788,30.625,36.375,25.5,174.5,6.55625,43.5,226.625,5.45625,69,401.125,5.9775,1.875,53.375,1812,0.375,-2.75,-0.25,1,28,18.875,37.5,20.75,101.5,4.66,41,172.5,4.16375,61.75,274,4.3775,1,64.75,1828.25,39,37.5,30.75,291.375,9.87875,38.5,179.125,4.32625,69.25,470.5,6.7775,1.875,41.5,1771.75,0.25,-20.125,0.875,-11.125,11.75,-2.13875,1.89625,0.57875,1.2925,-163.875,73,85.875,54.125,-1.125,0.125,1.625,7.25,-78,127.125,1,8,8,0,24.1,91.94,23.97,42.11,58.02,46.67,45.53,1,0,1,"2011587"
2011,645,1,"Y",13,"Air Force","MWC","A","F","Y","O",NA,"Colorado State","MWC","H","U","N","O","N","N",3600,NA,29.77777778,36.22222222,16.22222222,127.5555556,7.974444444,54.66666667,279.3333333,5.114444444,70.88888889,406.8888889,5.783333333,2,46.44444444,1773.888889,29.11111111,36.22222222,24.22222222,159.6666667,6.153333333,45.11111111,226.6666667,5.284444444,69.33333333,386.3333333,5.726666667,1.888888889,53.22222222,1826.111111,0.444444444,0.666666667,-0.111111111,1,24,20.44444444,41.77777778,29.22222222,187.5555556,6.232222222,34.55555556,130.6666667,3.774444444,63.77777778,318.2222222,5.011111111,1.777777778,53.77777778,1740.333333,32.66666667,41.77777778,26,182.8888889,6.962222222,44.55555556,235.3333333,5.334444444,70.55555556,418.2222222,6.032222222,1.777777778,58.55555556,1859.666667,0.222222222,-12.22222222,0,-2.888888889,8.666666667,1.012222222,-0.078888889,-0.22,1.51,-55.33333333,-27.88888889,44,96,-0.111111111,0.222222222,0.333333333,5.555555556,-11.33333333,68.11111111,0,9,9,0,24.1,91.94,23.97,42.11,58.02,46.67,45.53,0,1,-1,"2011645"
2011,689,1,"N",99,"Toledo","MAC","N","F","N","O",NA,"Air Force","MWC","N","U","Y","O","N","N",3600,NA,40.81818182,40.54545455,32.90909091,269.1818182,8.342727273,43.18181818,215.9090909,4.758181818,76.09090909,485.0909091,6.298181818,1.090909091,66.63636364,1931.727273,31.72727273,40.54545455,36.54545455,286.8181818,7.835454545,31.81818182,120.5454545,3.693636364,68.36363636,407.3636364,5.896363636,2.090909091,46.18181818,1668.272727,0.636363636,9.090909091,1,1,1,31.3,33.9,15.8,136.9,9.019,54.1,285.8,5.305,69.9,422.7,6.131,1.9,43.3,1781.7,28.3,33.9,23.1,156.2,6.5,45.5,236.1,5.411,68.6,392.3,5.873,2,56.2,1818.3,0.5,3,0.1,12.51818182,0.427272727,1.842727273,-1.183545455,-0.652818182,-1.611363636,112.9818182,149.9181818,-20.19090909,-165.2545455,0.9,0.136363636,7.490909091,-1.536363636,92.79090909,-15.33636364,0,5246,10,130.09,126.68,121.42,119.27,113.34,124.05,122.4566667,120.1775,0,0,0,"2011689"
